Ç°ºó×ºÃû³Æ	ÊÇ·ñÇ°×º	ÎåÐÐÊôÐÔÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷	½ü³ÌÎäÆ÷	°µÆ÷	¿ø¼×	½äÖ¸	ÏîÁ´	Ñ¥×Ó	Ñü´ø	Í·¿ø	»¤Íó	Ñü×¹	Âí	Ãæ¾ß
S¾t thÐp	1		3	150	80	100	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Kiªn cè 	1		4	150	100	120	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Kiªn c­êng	1		5	150	120	140	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Th¸nh thiÖn	1		6	150	140	170	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Th¸nh thiÖn	1		7	150	170	220	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Chóc phóc	1		8	150	220	300	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Chóc phóc	1		9	150	300	400	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
ThÇn H÷u	1		10	150	400	500	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0	0
Tèc ®é cao	1		2	111	10	15	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	10000	0	0	0	0	0	0
§õng véi	1		4	111	15	20	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	10000	0	0	0	0	0	0
Nhanh chãng	1		6	111	20	25	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	100000	0	0	0	0	0	0
Bay l­în	1		8	111	25	30	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	300000	0	0	0	0	0	0
Khoa Phô 	1		10	111	30	40	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	1000	0	0	0	0	0	0
Gai nhän	1		3	117	2	20	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	50000	0	0	0	0	0	0	0	0	0
§©m ng· 	1		9	117	20	40	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	50000	0	0	0	0	0	0	0	0	0
Ngµy b×nh th­êng	1		3	113	40	60	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	10000	0	0	0	0	0	0	0	0	0
æn ®Þnh	1		6	113	60	80	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	300000	0	0	0	0	0	0	0	0	0
C©n ®èi	1		9	113	80	87	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	1000	0	0	0	0	0	0	0	0	0
¸nh s¸ng	1		1	112	2	2	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
MÆt tr¨ng	1		2	112	4	4	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
Ph¸t s¸ng	1		3	112	6	6	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
NhÊp nh¸y	1		4	112	8	8	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
¸nh s¸ng chãi läi	1		5	112	10	10	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
MÆt trêi	1		6	112	12	12	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0	0
Th¸i S­ 	1		5	139	1	1	-1	-1	0	0	T¨ng kü n¨ng	15000	10000	0	2000	2000	0	0	0	0	2000	0	0
T«ng s­ 	1		10	139	1	2	-1	-1	0	0	T¨ng kü n¨ng	2000	2000	0	1000	1000	0	0	0	0	1000	0	0
L¨ng kÝnh	1		1	114	2	4	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	10000	0	0	0	0	0	0	0
CÇu vång	1		2	114	4	8	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	20000	0	0	0	0	0	0	0
b¶y mµu	1		3	114	8	12	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	50000	0	0	0	0	0	0	0
Hµo quang	1		4	114	12	16	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	50000	0	0	0	0	0	0	0
¸nh chíp	1		5	114	16	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	20000	0	0	0	0	0	0	0
CÇu vång	1		6	114	20	24	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	10000	0	0	0	0	0	0	0
CÇu vång	1		7	114	24	28	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	5000	0	0	0	0	0	0	0
CÇu vång	1		8	114	28	32	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	1000	0	0	0	0	0	0	0
Toµn th¹ch 	1		9	114	32	36	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	500	0	0	0	0	0	0	0
CÇu vång	1		10	114	36	40	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	100	0	0	0	0	0	0	0
Hót m¸u	1		2	136	2	6	-1	-1	0	0	hót Sinh lùc	40000	40000	0	0	0	0	0	0	0	0	0	0
Con muçi	1		5	136	6	10	-1	-1	0	0	hót Sinh lùc	1000	1000	0	0	0	0	0	0	0	0	0	0
Con ®Øa	1		7	136	10	14	-1	-1	0	0	hót Sinh lùc	500	500	0	0	0	0	0	0	0	0	0	0
Hoa ¨n thÞt ng­êi	1		10	136	14	20	-1	-1	0	0	hót Sinh lùc	100	100	0	0	0	0	0	0	0	0	0	0
Con d¬i	1		2	137	2	6	-1	-1	0	0	hót Néi lùc	40000	40000	0	0	0	0	0	0	0	0	0	0
Quû hån	1		5	137	6	10	-1	-1	0	0	hót Néi lùc	1000	1000	0	0	0	0	0	0	0	0	0	0
Ch©u chÊu	1		7	137	10	14	-1	-1	0	0	hót Néi lùc	500	500	0	0	0	0	0	0	0	0	0	0
Ch©u chÊu	1		10	137	14	20	-1	-1	0	0	hót Néi lùc	100	100	0	0	0	0	0	0	0	0	0	0
Sinh lùc	1		1	85	10	40	-1	-1	0	0	T¨ng Sinh lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0
Tr­êng thä 	1		2	85	40	80	-1	-1	0	0	T¨ng Sinh lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0
Tr­êng thä 	1		3	85	80	120	-1	-1	0	0	T¨ng Sinh lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0
Tr­êng sinh	1		4	85	120	160	-1	-1	0	0	T¨ng Sinh lùc 	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	0	0
Tr­êng sinh	1		5	85	160	200	-1	-1	0	0	T¨ng Sinh lùc 	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0	0
Sinh ®éng	1		6	85	200	240	-1	-1	0	0	T¨ng Sinh lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0	0
Sinh ®éng	1		7	85	240	280	-1	-1	0	0	T¨ng Sinh lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
Sinh linh	1		8	85	280	320	-1	-1	0	0	T¨ng Sinh lùc 	400000	400000	400000	400000	400000	400000	400000	400000	400000	400000	0	0
Sinh linh	1		9	85	320	360	-1	-1	0	0	T¨ng Sinh lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0	0
Tr­êng thä 	1		10	85	360	400	-1	-1	0	0	T¨ng Sinh lùc 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
Néi lùc	1		1	89	10	40	-1	-1	0	0	T¨ng Néi lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0
Søc sèng	1		2	89	40	80	-1	-1	0	0	T¨ng Néi lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0
Søc sèng	1		3	89	80	120	-1	-1	0	0	T¨ng Néi lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0
ThÞnh v­îng	1		4	89	120	160	-1	-1	0	0	T¨ng Néi lùc 	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	0	0
ThÞnh v­îng	1		5	89	160	200	-1	-1	0	0	T¨ng Néi lùc 	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0	0
Th©m hËu	1		6	89	200	240	-1	-1	0	0	T¨ng Néi lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0	0
Th©m hËu	1		7	89	240	280	-1	-1	0	0	T¨ng Néi lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
V« cïng	1		8	89	280	320	-1	-1	0	0	T¨ng Néi lùc 	400000	400000	400000	400000	400000	400000	400000	400000	400000	400000	0	0
V« cïng	1		9	89	320	360	-1	-1	0	0	T¨ng Néi lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0	0
V« tËn	1		10	89	360	400	-1	-1	0	0	T¨ng Néi lùc 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0
L©u dµi	1		1	93	10	40	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
L©u dµi	1		2	93	40	80	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
L©u dµi	1		3	93	80	120	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
L©u dµi	1		4	93	120	160	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
Kh«ng ngõng	1		5	93	160	200	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
Kh«ng ngõng	1		6	93	200	240	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
Kh«ng ngõng	1		7	93	240	280	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0
Kh«ng ngõng	1		8	93	280	320	-1	-1	0	0	T¨ng thÓ lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0	0
S©u th¼m	1		9	93	320	360	-1	-1	0	0	T¨ng thÓ lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0	0
S©u th¼m	1		10	93	360	400	-1	-1	0	0	T¨ng thÓ lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0	0
£m dÞu	1		1	88	2	2	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	100	0	0	100	100	100	100	0	0	0
£m dÞu	1		3	88	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	100	0	0	100	100	100	100	0	0	0
Nhu m× 	1		5	88	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	100	0	0	100	100	100	100	0	0	0
Phôc sinh	1		6	88	8	8	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	250000	0	0	250000	250000	250000	250000	0	0	0
 tûnh l¹i	1		8	88	10	10	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	100000	0	0	100000	100000	100000	100000	0	0	0
phôc sinh	1		10	88	12	12	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	50000	0	0	50000	50000	50000	50000	0	0	0
BiÓn réng	1		2	92	2	2	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	100	0	0
Sãng giã 	1		5	92	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	100	0	0
M­a to	1		7	92	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	20000	0	0
Lµn sãng	1		10	92	8	8	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	20000	0	0
Dåi dµo	1		1	96	2	2	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	100	100	0	0	0	0	0	0	0
MÒm dÎo	1		3	96	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	100	100	0	0	0	0	0	0	0
Tranh thñ 	1		5	96	10	10	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	250000	250000	0	0	0	0	0	0	0
Tranh thñ 	1		6	96	14	14	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	100000	100000	0	0	0	0	0	0	0
Tranh thñ 	1		7	96	18	18	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	50000	50000	0	0	0	0	0	0	0
Søc m¹nh	0	0	1	97	2	4	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	10000	10000	0	0	0	0	10000	0	0
Søc m¹nh	0	0	2	97	6	8	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	10000	10000	0	0	0	0	10000	0	0
Uy lùc	0	0	3	97	10	12	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	10000	10000	0	0	0	0	10000	0	0
Uy lùc	0	0	4	97	14	16	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	10000	10000	0	0	0	0	10000	0	0
Søc m¹nh	0	0	5	97	18	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	10000	10000	0	0	0	0	10000	0	0
Søc m¹nh	0	0	6	97	22	24	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	10000	10000	0	0	0	0	10000	0	0
Tr©u rõng	0	0	7	97	26	28	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	10000	10000	0	0	0	0	10000	0	0
Ng­êi khæng lå 	0	0	8	97	30	32	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	500000	500000	0	0	0	0	500000	0	0
S¬n ThÇn 	0	0	9	97	34	36	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	300000	300000	0	0	0	0	300000	0	0
Céng C«ng	0	0	10	97	38	40	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	50000	50000	0	0	0	0	50000	0	0
Dao nhän	0	0	1	121	2	10	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	20000	20000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	2	121	10	20	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	20000	20000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	3	121	20	30	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	20000	20000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	4	121	30	40	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	20000	20000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	5	121	40	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	20000	20000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	6	121	50	60	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	20000	20000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	7	121	60	70	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	400000	400000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	8	121	70	80	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	400000	400000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	9	121	80	90	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	5000	5000	0	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	10	121	90	100	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	1000	1000	0	0	0	0	0	0	0	0	0	0
N­íc ®éc 	0	1	1	125	2	10	-1	-1	0	0	T¨ng s¸t §éc s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
§éc Xµ 	0	1	2	125	10	20	-1	-1	0	0	T¨ng s¸t §éc s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
Cá kh« 	0	1	3	125	20	30	-1	-1	0	0	T¨ng s¸t §éc s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
¤n dÞch	0	1	4	125	30	40	-1	-1	0	0	T¨ng s¸t §éc s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
O¸n hËn	0	1	5	125	40	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
TruyÒn nhiÔm	0	1	6	125	50	60	-1	-1	0	0	T¨ng s¸t §éc s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
Thèi röa	0	1	7	125	60	70	-1	-1	0	0	T¨ng s¸t §éc s¸t	400000	400000	0	0	0	0	0	0	0	0	0	0
KÞch §éc	0	1	8	125	70	80	-1	-1	0	0	T¨ng s¸t §éc s¸t	400000	400000	0	0	0	0	0	0	0	0	0	0
ChÝ tö 	0	1	9	125	80	90	-1	-1	0	0	T¨ng s¸t §éc s¸t	5000	5000	0	0	0	0	0	0	0	0	0	0
§o¹n hån	0	1	10	125	90	100	-1	-1	0	0	T¨ng s¸t §éc s¸t	1000	1000	0	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	1	123	2	20	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	2	123	20	40	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	3	123	40	60	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
®ãng b¨ng 	0	2	4	123	60	80	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
B¨ng tuyÕt 	0	2	5	123	80	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
Hµn §«ng	0	2	6	123	100	120	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
L¹nh buèt	0	2	7	123	120	140	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	400000	400000	0	0	0	0	0	0	0	0	0	0
L¹nh buèt 	0	2	8	123	140	160	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	400000	400000	0	0	0	0	0	0	0	0	0	0
B¨ng cùc	0	2	9	123	160	180	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	5000	5000	0	0	0	0	0	0	0	0	0	0
Chuyªn Hóc	0	2	10	123	180	200	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	1000	1000	0	0	0	0	0	0	0	0	0	0
§Þa DiÖm háa	0	3	1	122	2	20	-1	-1	0	0	T¨ng Ho¶ s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
Hµo quang	0	3	2	122	20	40	-1	-1	0	0	T¨ng Ho¶ s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
NhiÖt t×nh	0	3	3	122	40	60	-1	-1	0	0	T¨ng Ho¶ s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
T×nh c¶m m·nh liÖt	0	3	4	122	60	80	-1	-1	0	0	T¨ng Ho¶ s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
®èt 	0	3	5	122	80	100	-1	-1	0	0	T¨ng Ho¶ s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
Thiªu ®èt	0	3	6	122	100	120	-1	-1	0	0	T¨ng Ho¶ s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
Löa ®á 	0	3	7	122	120	140	-1	-1	0	0	T¨ng Ho¶ s¸t	400000	400000	0	0	0	0	0	0	0	0	0	0
XÝch DiÖm	0	3	8	122	140	160	-1	-1	0	0	T¨ng Ho¶ s¸t	400000	400000	0	0	0	0	0	0	0	0	0	0
Löa ®á	0	3	9	122	160	180	-1	-1	0	0	T¨ng Ho¶ s¸t	5000	5000	0	0	0	0	0	0	0	0	0	0
Viªm ®Õ	0	3	10	122	180	200	-1	-1	0	0	T¨ng Ho¶ s¸t	1000	1000	0	0	0	0	0	0	0	0	0	0
TiÕng sÊm	0	4	1	124	2	20	-1	-1	0	0	T¨ng L«i s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
§iÖn kÝch	0	4	2	124	20	40	-1	-1	0	0	T¨ng L«i s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	3	124	40	60	-1	-1	0	0	T¨ng L«i s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
Trung hßa ®iÖn	0	4	4	124	60	80	-1	-1	0	0	T¨ng L«i s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	5	124	80	100	-1	-1	0	0	T¨ng L«i s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	6	124	100	120	-1	-1	0	0	T¨ng L«i s¸t	20000	20000	0	0	0	0	0	0	0	0	0	0
SÊm sÐt	0	4	7	124	120	140	-1	-1	0	0	T¨ng L«i s¸t	400000	400000	0	0	0	0	0	0	0	0	0	0
Thiªn L«i 	0	4	8	124	140	160	-1	-1	0	0	T¨ng L«i s¸t	400000	400000	0	0	0	0	0	0	0	0	0	0
L«i C«ng	0	4	9	124	160	180	-1	-1	0	0	T¨ng L«i s¸t	5000	5000	0	0	0	0	0	0	0	0	0	0
L«i ThÇn 	0	4	10	124	180	200	-1	-1	0	0	T¨ng L«i s¸t	1000	1000	0	0	0	0	0	0	0	0	0	0
Kim Tinh 	0	0	3	134	4	8	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	0	0	1000	0	0	1000	1000	1000	1000	0	0	0
Kim Ph¸ch	0	0	6	134	8	14	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	0	0	20000	0	0	20000	20000	20000	20000	0	0	0
